"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"1136","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;C#;C++;Go;HTML/CSS;Java;MATLAB;Objective-C;PHP;Python;Solidity;SQL;Swift;TypeScript","Cloud Firestore;MongoDB;MySQL;Neo4J;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Linode, now Akamai;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;CodeIgniter;Django;Express;Flask;jQuery;Laravel;Node.js;React;Vue.js","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Independent contractor, freelancer, or self-employed"
"1137","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;TypeScript","Couch DB;Elasticsearch;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase","Angular;AngularJS;jQuery;Next.js;Node.js;React;Ruby on Rails;Vue.js","Insurance","ChatGPT","Favorable","Employed, full-time"
"1138","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;C#;Go;JavaScript;SQL;TypeScript","BigQuery;Dynamodb;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare","Angular;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1139","Port Elizabeth Campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","Firebase Realtime Database;MySQL;PostgreSQL;SQLite","Digital Ocean;Firebase;Google Cloud;Heroku;Netlify;Vercel","Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium","Employed, full-time"
"1140","Port Elizabeth Campus","IT","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","BigQuery;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Google Cloud;Vercel","Next.js;Node.js","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time"
"1141","Pretoria Campus","Computer Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;Go;Perl;Python;SQL","Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud","Angular;FastAPI;Vue.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Synk Code","Employed, full-time"
"1142","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server;Oracle","Managed Hosting;OpenShift","Angular;Node.js;Spring Boot","Financial Services","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"1143","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL","Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Managed Hosting;Netlify","Django;Flask;Gatsby;React","Oil & Gas","ChatGPT;Google Bard AI","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"1144","Nelspruit Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Julia;PowerShell;Python;R;SAS;SQL","MongoDB;MySQL;Neo4J;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud;VMware","Django;Flask;React","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time;Student, part-time"
"1145","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Cloudflare;Microsoft Azure;Netlify;Vercel","Angular;Express;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"1146","Pretoria Campus","IT","I used to be a developer by profession, but no longer am","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Java;MATLAB;Python;SQL","Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite","Cloudflare;Microsoft Azure","Angular;Blazor;jQuery;Node.js;Spring Boot","Wholesale","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"1147","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","MariaDB;Microsoft SQL Server;MySQL;Redis;Solr;SQLite","Managed Hosting;Microsoft Azure","Express;Laravel;Node.js;Vue.js;WordPress","Retail and Consumer Services","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"1148","Durban Campus","Computer Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;PHP;Python;SQL;TypeScript","BigQuery;MongoDB;MySQL;PostgreSQL;Snowflake","Amazon Web Services (AWS);Cloudflare","Node.js;Spring Boot","Legal Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1149","Port Elizabeth Campus","Computer Science","I am learning to code","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel","Angular;ASP.NET;CodeIgniter;Drupal;Express;jQuery;Laravel;NestJS;Node.js;React;Spring Boot;Symfony;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify;Tabnine","Employed, full-time;Student, full-time"
"1150","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;JavaScript","Firebase Realtime Database;PostgreSQL;Supabase","Firebase;Vercel","React","Financial Services","Bing AI;ChatGPT","Mintlify;Synk Code","Employed, full-time"
"1151","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;JavaScript;SQL;TypeScript","Cosmos DB;H2;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Angular;AngularJS;ASP.NET CORE;Express;NestJS;Next.js;Node.js;React","Oil & Gas","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1152","Pretoria Campus","Computer Science","I am a developer by profession","Engineer, site reliability","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript","Cloud Firestore;Elasticsearch","Amazon Web Services (AWS);Firebase","Node.js;React","Other","Bing AI;ChatGPT;Google Bard AI","Adrenaline;Codeium;GitHub Copilot","Employed, full-time"
"1153","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript","MongoDB;PostgreSQL;SQLite","Cloudflare;Digital Ocean;Google Cloud","Deno;Express;Node.js;Vue.js","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"1154","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;JavaScript;PHP;Python;Rust;SQL;TypeScript","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS)","jQuery;Laravel;Node.js","Oil & Gas","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"1155","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","F#;Go;Java;Kotlin;Rust;SQL;Swift","Dynamodb;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner","Deno;Elm;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot","Independent contractor, freelancer, or self-employed"
"1156","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Vercel","Next.js;Node.js;React;Ruby on Rails","Higher Education","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time"
"1157","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Python;SQL","Microsoft SQL Server;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;FastAPI","Oil & Gas","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"1158","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Some college/university study without earning a degree","Assembly;Java;JavaScript;Kotlin;TypeScript","MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner","Node.js;Spring Boot","Insurance","ChatGPT","Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"1159","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Scala;TypeScript","MongoDB;MySQL","VMware","Angular;Play Framework","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Synk Code","Independent contractor, freelancer, or self-employed"
"1160","Pretoria Campus","IT","I used to be a developer by profession, but no longer am","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript","Elasticsearch;MySQL;PostgreSQL","Cloudflare;Hetzner","Django;Nuxt.js;Vue.js","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1161","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;Java;JavaScript;Python;Rust;SQL","Dynamodb;Oracle","Amazon Web Services (AWS);Google Cloud","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Student, full-time;Employed, part-time"
"1162","Port Elizabeth Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Database administrator","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL","MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Django;React","Other","Bing AI;ChatGPT;WolframAlpha","Whispr AI","Employed, full-time;Student, part-time"
"1163","Durban Campus","Computer Science","I am a developer by profession","Developer Experience","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Go;Java;JavaScript;Python;Rust;TypeScript","InfluxDB;Redis","Amazon Web Services (AWS);Microsoft Azure","NestJS;Next.js;Node.js;Nuxt.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI;WolframAlpha;You.com","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"1164","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL","Elasticsearch;MySQL;PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Digital Ocean;Heroku;Hetzner","jQuery;Node.js;React;Ruby on Rails","Retail and Consumer Services","Bing AI;ChatGPT;Google Bard AI;You.com","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"1165","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Java;Rust;SQL","Microsoft SQL Server;SQLite","OVH","ASP.NET;ASP.NET CORE;React","Insurance","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"1166","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Java;JavaScript;PHP","MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Heroku;Vercel","Express;NestJS;Next.js;Node.js;React;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Student, part-time"
"1167","Durban Campus","Computer Science","I am a developer by profession","Data or business analyst","Some college/university study without earning a degree","HTML/CSS;Java;Python;SQL","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Rubber Duck.AI","Employed, full-time"
"1168","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","JavaScript;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;NestJS;Node.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1169","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure;Netlify;Render","ASP.NET CORE;Blazor;Nuxt.js;Svelte;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"1170","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","JavaScript;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);OVH","Express;Node.js;React","Higher Education","ChatGPT;WolframAlpha","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"1171","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;Rust;SQL;TypeScript","MariaDB;Microsoft SQL Server;SQLite","Digital Ocean;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE","Oil & Gas","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"1172","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, mobile","Associate degree (A.A., A.S., etc.)","Dart;GDScript;HTML/CSS;JavaScript;Rust;TypeScript","Dynamodb","Amazon Web Services (AWS);Firebase;Google Cloud;Render","Node.js;React;Vue.js","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Synk Code;Tabnine","Employed, full-time"
"1173","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Go;HTML/CSS;JavaScript;Python;R;Rust;Scala;SQL;TypeScript","Dynamodb;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Firebase;Scaleway","Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React;Vue.js;WordPress","Oil & Gas","ChatGPT;WolframAlpha","GitHub Copilot;Mintlify;Replit Ghostwriter","Independent contractor, freelancer, or self-employed;Employed, part-time"
"1174","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;PostgreSQL;Redis","Amazon Web Services (AWS);Netlify;Vercel","Express;Next.js;Node.js;React;Remix","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"1175","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);Java;JavaScript;Objective-C;PHP;Swift","MongoDB","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku","Express","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Independent contractor, freelancer, or self-employed"
"1176","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;C++;Go;Java;JavaScript;Kotlin;PHP;Python;Rust;Swift;TypeScript","Cassandra;Couch DB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Microsoft Azure;VMware;Vultr","ASP.NET;Express;FastAPI;Flask;Laravel;NestJS;Node.js;React;Vue.js","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
